day,hour,festival,rain,weather,vehicle_count,traffic_density
Saturday,7,Diwali,0,Clear,1452,0.9259999999999999
Monday,21,None,1,Cloudy,1067,0.6335
Wednesday,20,Ganesh Chaturthi,1,Rainy,260,0.43000000000000005
Friday,18,None,0,Rainy,647,0.3235
Saturday,15,Ganesh Chaturthi,1,Cloudy,1779,1.0
Wednesday,2,Diwali,0,Rainy,1617,1.0
Monday,18,None,1,Cloudy,282,0.241
Monday,15,Eid,1,Cloudy,1107,0.8535
Saturday,7,Eid,1,Clear,1257,0.9285
Monday,0,Ganesh Chaturthi,1,Cloudy,1520,1.0
Thursday,12,Eid,0,Clear,930,0.665
Monday,12,Diwali,1,Cloudy,802,0.701
Tuesday,19,None,1,Cloudy,109,0.1545
Wednesday,5,Eid,1,Rainy,309,0.4545
Monday,6,Ganesh Chaturthi,1,Clear,1512,1.0
Monday,22,Christmas,0,Clear,777,0.5885
Monday,7,Diwali,0,Clear,1052,0.726
Tuesday,22,Diwali,0,Rainy,723,0.5615
Thursday,8,Ganesh Chaturthi,0,Clear,1653,1.0
Thursday,18,Diwali,1,Rainy,1249,0.9245
Monday,19,Christmas,0,Clear,356,0.378
Wednesday,13,Christmas,0,Cloudy,709,0.5545
Thursday,18,Eid,0,Cloudy,832,0.616
Friday,7,Diwali,1,Cloudy,550,0.5750000000000001
Tuesday,12,Eid,1,Rainy,276,0.43800000000000006
Friday,13,Christmas,0,Rainy,424,0.41200000000000003
Saturday,22,Christmas,0,Cloudy,576,0.488
Tuesday,15,Ganesh Chaturthi,0,Clear,577,0.4885
Sunday,7,Diwali,0,Rainy,1798,1.0
Tuesday,2,Eid,0,Clear,1608,1.0
Monday,21,None,0,Cloudy,858,0.429
Tuesday,19,Christmas,1,Clear,880,0.74
Saturday,14,None,0,Rainy,1960,0.98
Saturday,3,None,0,Rainy,978,0.489
Tuesday,22,None,0,Clear,1278,0.639
Monday,7,Ganesh Chaturthi,0,Clear,658,0.529
Tuesday,1,Eid,0,Cloudy,1284,0.8420000000000001
